,fullurl,id
0,https://en.wikipedia.org/wiki/Category:Dog_shows_and_showing,970284
1,https://en.wikipedia.org/wiki/Category:Dog_health,972913
2,https://en.wikipedia.org/wiki/Category:Dog_organizations,970251
3,https://en.wikipedia.org/wiki/Category:Dog_sports,729436
4,https://en.wikipedia.org/wiki/Category:Dogs_as_pets,978163
5,https://en.wikipedia.org/wiki/Category:Dog_equipment,1764821
6,https://en.wikipedia.org/wiki/Category:Dog_breeding,1765233
7,https://en.wikipedia.org/wiki/Category:Dog_monuments,1765458
8,https://en.wikipedia.org/wiki/Kennel,1467938
9,https://en.wikipedia.org/wiki/Cynology,275388
10,https://en.wikipedia.org/wiki/Category:Dog_training_and_behavior,970360
11,https://en.wikipedia.org/wiki/Category:Dog_law,1968414
12,https://en.wikipedia.org/wiki/Category:Dog-related_professions_and_professionals,1777080
13,https://en.wikipedia.org/wiki/Category:Dogs_in_popular_culture,2460099
14,https://en.wikipedia.org/wiki/Category:Dog_breeds,691500
15,https://en.wikipedia.org/wiki/Pack_(canine),2352562
16,https://en.wikipedia.org/wiki/Rare_breed_(dog),17021807
17,https://en.wikipedia.org/wiki/Category:Dog_types,704388
18,https://en.wikipedia.org/wiki/Category:Deaths_due_to_dog_attacks,22806874
19,https://en.wikipedia.org/wiki/Dogs_in_ancient_China,20777185
20,https://en.wikipedia.org/wiki/Dog_biscuit,4020758
21,https://en.wikipedia.org/wiki/Category:Wikipedia_books_on_dogs,27545231
22,https://en.wikipedia.org/wiki/Breed_type_(dog),17430047
23,https://en.wikipedia.org/wiki/Category:Mythological_dogs,2460103
24,https://en.wikipedia.org/wiki/Canid_hybrid,2676271
25,https://en.wikipedia.org/wiki/Canine_physical_therapy,22044074
26,https://en.wikipedia.org/wiki/Dogs_in_Mesoamerica,19282291
27,https://en.wikipedia.org/wiki/Interbreeding_of_dingoes_with_other_domestic_dogs,23416702
28,https://en.wikipedia.org/wiki/Canine_reproduction,5740890
29,https://en.wikipedia.org/wiki/PDSA_Certificate_for_Animal_Bravery_or_Devotion,31752133
30,https://en.wikipedia.org/wiki/Category:Robotic_dogs,32122845
31,https://en.wikipedia.org/wiki/Cropping_(animal),33069847
32,https://en.wikipedia.org/wiki/Pet_Check_Technology,32912733
33,https://en.wikipedia.org/wiki/Dog_daycare,24243398
34,https://en.wikipedia.org/wiki/Dogs_in_religion,17862013
35,https://en.wikipedia.org/wiki/The_Ten_Commandments_of_Dog_Ownership,34442389
36,https://en.wikipedia.org/wiki/Roan_(color),178449
37,"https://en.wikipedia.org/wiki/List_of_beagle,_harrier_and_basset_packs_of_the_United_Kingdom",34949251
38,https://en.wikipedia.org/wiki/Category:Dog_stubs,1396693
39,https://en.wikipedia.org/wiki/Category:Individual_dogs,31823444
40,https://en.wikipedia.org/wiki/Panhu,36477294
41,https://en.wikipedia.org/wiki/The_Dog_Pillow,31804256
42,https://en.wikipedia.org/wiki/Queen_Elizabeth%27s_corgis,37049778
43,https://en.wikipedia.org/wiki/Dog_World_(newspaper),22345050
44,https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog,5141410
45,https://en.wikipedia.org/wiki/Category:Fictional_dogs,693519
46,https://en.wikipedia.org/wiki/Cynophobia,9369613
47,https://en.wikipedia.org/wiki/Walter_the_Farting_Dog,10579085
48,https://en.wikipedia.org/wiki/List_of_foxhound_packs_of_the_United_Kingdom,20444317
49,https://en.wikipedia.org/wiki/Puppy_pregnancy_syndrome,38928070
50,https://en.wikipedia.org/wiki/Human%E2%80%93canine_bond,31903693
51,https://en.wikipedia.org/wiki/List_of_minkhound_packs_of_the_United_Kingdom,41493138
52,https://en.wikipedia.org/wiki/Mastiff,849619
53,https://en.wikipedia.org/wiki/My_Life_in_Dog_Years,21303741
54,https://en.wikipedia.org/wiki/Puppy,5205615
55,https://en.wikipedia.org/wiki/Category:Dogs_by_country,43220839
56,https://en.wikipedia.org/wiki/Category:Dog_food_brands,15958827
57,https://en.wikipedia.org/wiki/Bog_Dog,42498898
58,https://en.wikipedia.org/wiki/Category:Dog_landraces,44318848
59,https://en.wikipedia.org/wiki/Becerrillo,44444481
60,https://en.wikipedia.org/wiki/Chiengora,11159584
61,https://en.wikipedia.org/wiki/Lists_of_dogs,37331361
62,https://en.wikipedia.org/wiki/Category:Lists_of_dogs,37104213
63,https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival,47048387
64,https://en.wikipedia.org/wiki/Portal:Dogs,4135811
65,https://en.wikipedia.org/wiki/Saint_Guinefort,1505145
66,https://en.wikipedia.org/wiki/Jed_(wolfdog),47079044
67,https://en.wikipedia.org/wiki/List_of_bloodhound_packs_of_the_United_Kingdom,48860098
68,https://en.wikipedia.org/wiki/List_of_hound_packs_of_Ireland,48871041
69,https://en.wikipedia.org/wiki/List_of_hound_packs_of_Australia,48871696
70,https://en.wikipedia.org/wiki/List_of_hound_packs_of_New_Zealand,48871701
71,https://en.wikipedia.org/wiki/List_of_draghound_packs_of_the_United_Kingdom,48872312
72,https://en.wikipedia.org/wiki/Service_dog,76940
73,https://en.wikipedia.org/wiki/Dog,4269567
